뉴스 제목
" 이스라엘, 면역 저하자에 코로나19 백신 4차접종 승인 "
 ‘코로나 생존 지원 8천억’…내년 서울시 예산 극적 통과 
 방탄소년단 제이홉 1억…코로나 속 더욱 빛난 '별들의 기부'’ 
" 영국, 화이자 개발 먹는 코로나 치료약 팍스로비드 사용 승인 "
" 美 CDC ""어린이 코로나19 백신 부작용, 대체로 경미"" "
" [신년사]김부겸 ""2022년 코로나19 위기 완전히 극복"" "
" 당국 ""16세 중 코로나19 백신 접종 후 사망신고 사례 나와"" "
 오후 9시까지 3768명 코로나19 신규 확진 
 [뉴스1PICK] 코로나19 피해 메타버스로 떠난 헌내기들 
 기내서 코로나 양성 뜬 美여성 “화장실에 5시간 격리” 
" 코로나 거점 전담병원 방문한 이재명 ""손실 없도록 지원"" "
" 코로나19 '먹는 치료제' 곧 도입…김부겸 ""빠르면 2주 후 활용"" "
 예술인 평균 연수입 755만원…코로나로 3년 전보다 526만원 감소 
" ""소득 적을수록 코로나19 사태 겪으며 가족관계 멀어졌다"" "
" 코로나19 거리두기 강화, 새해 해맞이 명소 전면 통제 "
 오후 9시까지 3768명 코로나19 신규 확진 
 첫 코로나 경고 2년…의사 리원량 '디지털묘지' 찾는 중국인들 
 [뉴스1PICK] 코로나19 피해 메타버스로 떠난 헌내기들 
 기내서 코로나 양성 뜬 美여성 “화장실에 5시간 격리” 
 李 코로나19 전담병원 방문...尹 충북에서 불교행사 참석 
" WHO ""코로나19 변이 확산 '쓰나미' 우려"" "
 코로나 거침없는 확산 속 지구촌 불안한 새해맞이 
" 이스라엘, 면역 취약층에 코로나19 백신 4차 접종 승인 "
" 이재명 ""'오직 민생' 잊지 않을 것…코로나 대응은 모두의 책임""(종합) "
" 터키, 자국산 투르코백 코로나19 백신 접종 시작 "
 코로나 신규 확진자 4875명… 위중증 1056명·사망 108명 
" 대우조선해양, 코로나19 대응 지역 의료진 위로 방문 "
" 이재명, 오늘 코로나 거점병원 방문…'소확행' 국민공모도 "
" 김강립 식약처장 ""내년에도 코로나19 극복에 집중할 것"" "
 코로나19 오후 6시까지 전국서 2988명 확진…어제보다 315명 ↓ 
 이재명 '글로벌 랜선일출' 행사…교민과 '코로나 극복' 염원 
" 李, 코로나 '민생 행보'‥尹, 충북서 불심 잡기 "
" 이스라엘, 화이자 먹는 코로나19 치료제 첫 들여와 "
" 새해 코로나 민생지원·경제 정상화 뒷받침, 304건 법·제도 바뀐다 "
 재택근무·혼술의 여파? 코로나 이후 30대 남성 건강 악화 
" 바이오니아, 코로나19 타액진단키트 수출용 허가 획득 "
" ""올드보이처럼 지냈다""...유재석 코로나 자가격리 후기 "
" SNT, 코로나19 장기화로 힘든 자영업자 돕기 나서 "
" 이케아, 10개 중 2개 제품 평균 6% 인상 ""코로나 장기화 여파"" "
 ‘코로나 봉쇄’ 중국 시안…“빵 조각 연명” 
" 성남시, 코로나19 대응 기록한 백서 발간 "
" 재래시장 찾은 안철수 ""내년 희망적이길…코로나 꼭 잡겠다"" "
" 상주시, 코로나 거점 전담병원 지정 철회 요구 "
" 이스라엘, 화이자의 먹는 코로나19 치료제 첫 인수 "
 이탈리아 코로나19 신규 확진 10만명 넘어서…최고치 또 경신 
 위드코로나에도 지갑 안 열렸다…연말 경기 악화할 수도 
" 코로나19 신규 확진 4875명···오미크론 269명, 사망 108명 증가 "
 [희망2022]코로나19 블루 잊게하는 호랑이 남매의 장난 
" [신년사] 권덕철 복지장관 ""코로나19 백신·치료제 선제확보 준비"" "
 코로나사태 속 골프 관련 업종 호황…골프장 30·60대 여성 늘어 
 위드코로나에 백화점 매출 18% '쑥'…마트 매출은 10% '뚝' 
 코로나 확진자 63만 명…완치 후에도 불안한 후유증 
 31일 오후 9시 전국 코로나 확진자 3781명 
" 전세계 임상 중인 코로나 백신 113종, 44종은 최종단계 "
" 코로나19 백신 미접종자, 3000㎡ 이상 백화점·마트 못간다(상보) "
" 코로나19 격리 기간 줄이는 국가들…WHO ""신중해야"" "
" 교황, 코로나19 확산에 성베드로광장 구유 방문 취소 "
 NBA 심판 70명 중 25명이 코로나19 격리…심판도 '콜업' 
" 李, 코로나 전담병원 방문…尹, 불교계 표심 호소 "
 美 하루 평균 코로나 확진 30만명 ‘사상 최다’…항공대란 등 인프라 마비 
 일주일 새 주한미군 코로나19 감염자 폭증 467명 
" ""하루 벌어 하루 사는데""…코로나에 생계 막막한 일용직들 "
 내달 코로나19 먹는치료제 도입…자궁경부암 백신 무료접종 확대(종합) 
 중국서 '코로나 최초 발견자' 리원량 추모 물결 
" 문체부 장관·예술위 위원, 예술 현장 코로나 대응 논의 "
" ""한국 이름 만들어 오라""…코로나 틈타 판친다, 제노포비아 "
 '코로나19 검사 받아요' 
 “코로나 때문에 30대 남성 비만율 늘었다”…58%로 11.8%P↑ 
 전세계 연일 코로나19 확진자 폭증…美·유럽 하루 77만명 이상 발생 
 오후 9시까지 코로나19 4349명 확진…전날보다 184명 적어 
 코로나로 미뤄진 뮤지컬 '라이온 킹' 내한공연 내달 26일 개막 
 군부대에도 '코로나19 오미크론' 유입…첫 사례 공식 확인 
" 익산, 코로나19 확진자 17명 추가 발생…누적 1497명 "
 코로나19로 '제야의 종'·해넘이·해맞이 모두 취소 
" 김부겸 총리, 코로나19 중대본 회의 주재 "
" 한은, '한국의 금융시장' 개정판 발간…코로나19 영향 등 반영 "
 코로나로 2년째 타종행사 못 여는 제야…저무는 2021년 
 코로나19 여파에도 강원 동해안 바다 해돋이 명소 북적 
 코로나19 첫 보고 2년…더 큰 '쓰나미'된 팬데믹(종합2보) 
" 이재명 ""정치 이유, 오직 민생…새해는 코로나 이후 향해 출발"" "
" 11월 위드 코로나 효과, 면세점 매출 1조7000억원 ‘반짝’ "
 코로나19극복·대선…광주시민 뽑은 ‘임인년 새해 키워드' 
" 김명수 대법원장 ""새해에 코로나 종식되길"" "
" ""화이자 백신 12~17세 코로나19 예방효과 92% 달해"" "
" ""코로나에 가정용 전기 사용량 2년째 늘어…가계 부담↑"" "
" 울산시, 코로나 상황 속 공공의료 기반 확충 '박차' "
 오후 6시까지 3303명 코로나19 확진…전날보다 54명 많아 
 코로나19 위기에도 해외건설 수주액 2년 연속 300억달러 돌파 
" 서울시-의회, '코로나 지원 7700억' 예산 합의…세부사항 조율 "
 [포켓이슈] 애증의 마스크…코로나19 끝나도 쓰실 건가요? 
 코로나 신규 확진 4875명… 위중증 1056명 
 코로나 신규 확진 4875명·오미크론 269명·위중증 1056명 
 [코로나]팬데믹 2년…봉쇄된 시안 '식자재 공급 비상' 
 경기도 코로나19 신규 확진 1476명…9일째 1000명대 
" [희망2022] 임인년(壬寅年), 어흥 코로나야 물러가라 "
" 이재명 ""코로나 추경 25조원 넘어야… 국민의힘, 적극 협조하라"" "
 신축년 마지막날 충북서 코로나19 69명 신규 확진 
" 우리은행, 코로나19 피해 소상공인·의료진 자동이체 수수료 면제 "
" 관세청 ""올해 수출 실질적 증가세…코로나19 기저효과 넘어"" "
 '위드코로나' 생산 17개월 만에 최대↑…소비 16개월 만에 최대↓(종합2보) 
" 李, 코로나 전담병원 찾아 ""공공의료 확충‥25조 이상 추경"" "
" 김병우 ""겨울방학 코로나19 방역관리 철저히 하라"" "
 코로나에 남성 확찐자 늘었다…30대男 10명 중 6명 비만 
" ""맘편히 쉰 날 언제…그래도 힘내요"" 마음 다잡는 코로나 전사들 "
" 비행중 코로나 양성 미국 승객, 기내 화장실서 격리 "
 요리 시무식ㆍ헌혈 송년회…코로나시대 연말 풍경 달라졌다 
 한파경보 발령시 대중교통 이용 28.7% 감소…코로나로 22.7% 감소 
 코로나로 문화·여가 비대면화 가속…휴가 방식도 달라져 
" CDC ""美 하루 코로나19 확진 44만명 과대평가…새해에는 안정"" "
 군 코로나19 22명 추가확진…21명 돌파감염 
 코로나19 여파…전국 해넘이 명소 곳곳 '한적·차분' 
 울산 코로나19 확진자 22명 발생…오미크론 감염 5명 추가 
 얽히고설킨 코로나19 백신 소송전… 화이자·모더나 초긴장 
" 프랑스 ""오미크론이 코로나19 우세종…확진자의 62%"" "
" ""동유럽 코로나 사망자 100만명 넘어…유럽 전체 사망자의 56%"" "
 서울시 예산안 극적 타결…코로나 생존 지원금 8000억 반영 
 군산 미군 장병 121명 코로나19 집단감염…지역사회 불안 
 '종식'에서 '공존'으로… 2022년의 코로나19는? 
 병상대기 코로나 확진자 55일 만에 '0' 
" 비행중 코로나 양성, '화장실서 5시간 자체 격리' 화제 "
" 정부, 자영업자 코로나 손실보상 500만원씩 선지급 "
 코로나19 희생자들에게 헌화 
" 코로나19 위중증 1,056명…사망자 108명 역대 두번째 많아 "
" ""올해 코스피 상단 3600…위드코로나·친환경·메타버스株 관심"" "
 이탈리아 코로나19 신규 확진 또 최고치 경신…10만명 육박 
" 美, 12~15세에도 코로나 백신 부스터샷 승인 전망 "
 코로나시대의 방학식 
 코로나19로 어려움 겪는 부산 문화예술인에 50만 원씩 총 30억 지원금 
 코로나로 지친 시민들을 위한 이색종무식![청계천 옆 사진관] 
" 민주당, 새해 '코로나 추경' 논의 공식화…""자영업자 충분한 보상"" "
 코로나 확산 속 수출 호조에 12월 제조업 체감경기 개선 
" 광양시, 긴급재난생활비 2차례 지급…코로나 위기 선도 "
" 개그맨 김형인 코로나 확진...""백신 맞았다고 방심말길"" "
 코로나 2년이 바꾼 사회상…'가족 빼고 다 멀어졌다' 
 오후 6시까지 서울 코로나19 확진자 1102명 
 코로나에도 해외수주 선방…2년 연속 300억弗 돌파 
" 대우조선해양, 코로나 19 대응 거제지역 의료진 위로 "
" 식약처 ""내년 먹는 코로나19 치료제 2개 허가 예상"" "
 위험 적은 시설부터 내년 방역패스 완화 [내년 코로나 대응 어떻게] 
" [아듀2021] 코로나19 2년, 2021년의 초상 "
" [신년사]홍남기 ""코로나 방역 완벽제어 최우선…일상 복귀 속도 내겠다"" "
" 진주시, ‘진주형 공공일자리’ 1000명 모집…코로나19 대응 "
 서울 코로나 확진자 1722명…1주전 대비 997명 감소 
 2010년생 내년 코로나 백신 접종…방역패스는 적용 안 해 
 코로나에 보신각도 못가는데…메타버스에서 카운트다운 해볼까? 
 내년 재난안전에 21조9000억 투자…'코로나 대응' 올인 
" 대전시, 코로나 차단 위한 특별 거리두기 2주간 연장 "
 코로나19 속 세밑풍경 
 이재명 코로나 전담병원 방문 뒤 “공공의료 인력 확충 반대해도 관철” 
 전세계 코로나 확진자 수 폭증…미국 일주일간 200만명 확진 
" 울산시, 코로나 상황 속 공공의료 기반 확충 '박차' "
" 이스라엘, 면역 저하자에게 코로나19 백신 4차접종 승인 "
" 코로나 신규 확진자는 감소세, 위중증은 11일 연속 1000명대 "
" 김총리 ""빠르면 2주 후 '먹는 코로나 약' 재택치료자에 활용"" "
 오후 6시까지 3303명 코로나19 확진…전날보다 54명 많아 
 코로나19 위기에도 해외건설 수주액 2년 연속 300억달러 돌파 
" 서울시-의회, '코로나 지원 7700억' 예산 합의…세부사항 조율 "
 [포켓이슈] 애증의 마스크…코로나19 끝나도 쓰실 건가요? 
 '코로나19 검사 기다리는 시민들' 
 코로나 신규 확진 4875명… 위중증 1056명 
 코로나 신규 확진 4875명·오미크론 269명·위중증 1056명 
" 보건당국 ""16세 청소년, 코로나19 백신 접종 후 사망 첫 사례 접수"" "
 [코로나]팬데믹 2년…봉쇄된 시안 '식자재 공급 비상' 
 경기도 코로나19 신규 확진 1476명…9일째 1000명대 
" [희망2022] 임인년(壬寅年), 어흥 코로나야 물러가라 "
" WHO ""코로나19 델타·오미크론 동시 유행...'확진 쓰나미' 우려"" "
" 이재명 ""코로나 추경 25조원 넘어야… 국민의힘, 적극 협조하라"" "
 신축년 마지막날 충북서 코로나19 69명 신규 확진 
 16세에서 코로나19 백신 접종 후 '첫 사망 신고' 
 BTS 제이홉·쌈디…코로나19 속 빛나는 기부행렬 
" 우리은행, 코로나19 피해 소상공인·의료진 자동이체 수수료 면제 "
" 관세청 ""올해 수출 실질적 증가세…코로나19 기저효과 넘어"" "
 '위드코로나' 생산 17개월 만에 최대↑…소비 16개월 만에 최대↓(종합2보) 
" 李, 코로나 전담병원 찾아 ""공공의료 확충‥25조 이상 추경"" "
" 김병우 ""겨울방학 코로나19 방역관리 철저히 하라"" "
" 코로나19 중대본 회의, 발언하는 김부겸 총리 "
 [신년사] 권덕철 복지장관 “코로나19 백신·치료제 선제 확보 적극 추진” 
 코로나에 남성 확찐자 늘었다…30대男 10명 중 6명 비만 
 中네티즌 목숨 걸고 '코로나19' 최초 폭로한 故 리원량 의사 추모 
" ""맘편히 쉰 날 언제…그래도 힘내요"" 마음 다잡는 코로나 전사들 "
" 비행중 코로나 양성 미국 승객, 기내 화장실서 격리 "
" '코로나19에 몸살' NBA, 심판도 부족…전체 36% 격리중 "
 요리 시무식ㆍ헌혈 송년회…코로나시대 연말 풍경 달라졌다 
 한파경보 발령시 대중교통 이용 28.7% 감소…코로나로 22.7% 감소 
